channel,video_link,views,likes,dislikes
BritPopPrincess,https://www.youtube.com/watch?v=lXxeUT2SWBA,2243435,143122,7450
BritPopPrincess,https://www.youtube.com/watch?v=W8iwgwhzajI,276418,125705,3735
BritPopPrincess,https://www.youtube.com/watch?v=xez100H-_bk,2469282,65914,1668
BritPopPrincess,https://www.youtube.com/watch?v=oT0eOukfry8,2493901,82398,1594
BritPopPrincess,https://www.youtube.com/watch?v=oZ52D-gQcgc,855245,72162,820
BritPopPrincess,https://www.youtube.com/watch?v=NZ-iP-Xxqss,782326,112885,1962
BritPopPrincess,https://www.youtube.com/watch?v=H2s0lDFK89E,1949219,82069,1167
BritPopPrincess,https://www.youtube.com/watch?v=4G5eVbP1ezs,2786380,74497,1935
BritPopPrincess,https://www.youtube.com/watch?v=2qrAvSH33ZQ,2762518,60595,1312
BritPopPrincess,https://www.youtube.com/watch?v=fb-H4Qvwn-I,2493901,75346,1232
DulceCandy87,https://www.youtube.com/watch?v=SQ8Kg8QvyNA,2447057,57078,3754
DulceCandy87,https://www.youtube.com/watch?v=jkLUwYcg3kE,197538,4159,1493
DulceCandy87,https://www.youtube.com/watch?v=Iu3MDNwV93A,165615,58279,2490
DulceCandy87,https://www.youtube.com/watch?v=KtXDRUCfhJs,166444,24185,2534
DulceCandy87,https://www.youtube.com/watch?v=FHIlEP0Puag,1883908,3919,745
DulceCandy87,https://www.youtube.com/watch?v=dpBDNmhCXrQ,704243,46444,1894
DulceCandy87,https://www.youtube.com/watch?v=NY6MGtDsZC0,349505,33571,823
DulceCandy87,https://www.youtube.com/watch?v=BlqxuJKPKl8,3067341,29089,1217
DulceCandy87,https://www.youtube.com/watch?v=fMfB6nprJ8Y,2345312,39431,3531
DulceCandy87,https://www.youtube.com/watch?v=TWTAGWYdCJ4,543146,33502,7233
DulceCandy87,https://www.youtube.com/watch?v=SQ8Kg8QvyNA,2447057,57078,3754
DulceCandy87,https://www.youtube.com/watch?v=jkLUwYcg3kE,197538,4159,1493
DulceCandy87,https://www.youtube.com/watch?v=Iu3MDNwV93A,165615,58279,2490
DulceCandy87,https://www.youtube.com/watch?v=KtXDRUCfhJs,166444,24185,2534
DulceCandy87,https://www.youtube.com/watch?v=FHIlEP0Puag,1883908,3919,745
DulceCandy87,https://www.youtube.com/watch?v=dpBDNmhCXrQ,704243,46444,1894
DulceCandy87,https://www.youtube.com/watch?v=NY6MGtDsZC0,349505,33571,823
DulceCandy87,https://www.youtube.com/watch?v=BlqxuJKPKl8,242032,29089,1217
DulceCandy87,https://www.youtube.com/watch?v=fMfB6nprJ8Y,2345312,39431,3531
DulceCandy87,https://www.youtube.com/watch?v=TWTAGWYdCJ4,543146,33502,7233
AndreasChoice,https://www.youtube.com/watch?v=Ha4c_MkRtAM,526505,93285,997
AndreasChoice,https://www.youtube.com/watch?v=iYE05AylhpU,7672794,11689,4272
AndreasChoice,https://www.youtube.com/watch?v=Y_iee2lbKYU,4835164,90288,1896
AndreasChoice,https://www.youtube.com/watch?v=nfuA8WY_cWw,6840664,138513,3501
AndreasChoice,https://www.youtube.com/watch?v=0Qf_tqGHoy0,1143261,110496,1844
AndreasChoice,https://www.youtube.com/watch?v=gl6jrDtnU6M,244329,112798,1603
AndreasChoice,https://www.youtube.com/watch?v=1VZpCtwH7tE,25297827,116537,3506
AndreasChoice,https://www.youtube.com/watch?v=4KyTO405GjA,198840,131526,1195
AndreasChoice,https://www.youtube.com/watch?v=cuwZY0KZK3c,8454335,59876,1563
AndreasChoice,https://www.youtube.com/watch?v=swM9IXZE3Lk,904541,161080,1737
macbarbie07,https://www.youtube.com/watch?v=qKIv6K8oD5Y,12126319,409326,8319
macbarbie07,https://www.youtube.com/watch?v=koMbIaJ8Tmo,9246435,263400,4157
macbarbie07,https://www.youtube.com/watch?v=ugCJVhrdCK0,12099239,273471,4765
macbarbie07,https://www.youtube.com/watch?v=u60Pb8vd4rM,9251904,319466,4078
macbarbie07,https://www.youtube.com/watch?v=c1B0KO_0Qtk,7721788,333740,4873
macbarbie07,https://www.youtube.com/watch?v=Jn0Lm-98864,4139912,365382,6439
macbarbie07,https://www.youtube.com/watch?v=OAXOHpzq9Ko,14848577,394797,4793
macbarbie07,https://www.youtube.com/watch?v=5xm4uXo5894,6700320,130375,4902
macbarbie07,https://www.youtube.com/watch?v=CoCsVC_meE8,6093462,378897,3600
macbarbie07,https://www.youtube.com/watch?v=lnDp151B4yo,857719,237436,2734
ThatsHeart,https://www.youtube.com/watch?v=v9q1OA7AE1c,14733179,67493,3391
ThatsHeart,https://www.youtube.com/watch?v=WJd2FzYo-JI,1137173,57486,1806
ThatsHeart,https://www.youtube.com/watch?v=6IvXKVaS9Kg,313883,42140,4805
